epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1422.32,2.05648,3.10104,1.77178,0.76024,0.08264,0.05875,0.02276,2.3266,3.52484,2.08547,0.00047434,0.00047434,0.00047434
2,2586.52,2.08294,2.60658,1.74347,0.79674,0.09972,0.10225,0.03938,2.18911,2.82905,1.89604,0.000903615,0.000903615,0.000903615
3,3745.78,2.03532,2.43028,1.71787,0.83686,0.12327,0.13565,0.05582,2.08894,2.36908,1.75248,0.00128573,0.00128573,0.00128573
4,4818.45,2.00317,2.30044,1.69044,0.83531,0.13135,0.14838,0.05674,2.09507,2.3109,1.76485,0.00121679,0.00121679,0.00121679
5,5671.85,1.97289,2.18201,1.68105,0.83572,0.13389,0.15479,0.06179,2.08008,2.20619,1.72347,0.00114606,0.00114606,0.00114606
6,6676.57,1.91791,2.10141,1.64002,0.85707,0.14658,0.18258,0.07841,1.9352,2.10133,1.62684,0.00107532,0.00107532,0.00107532
7,7932.04,1.89724,2.01724,1.6367,0.83979,0.13221,0.16914,0.07603,1.99753,2.02723,1.68991,0.00100459,0.00100459,0.00100459
8,9024.93,1.86547,1.99049,1.61218,0.51696,0.2083,0.1974,0.08339,1.95797,1.93383,1.65709,0.000933851,0.000933851,0.000933851
9,10363.3,1.82304,1.95186,1.59429,0.27724,0.22464,0.21058,0.09509,1.91878,1.79754,1.62483,0.000863116,0.000863116,0.000863116
10,11156.6,1.79965,1.8667,1.57164,0.26345,0.2301,0.21271,0.09539,1.91767,1.80987,1.61996,0.00079238,0.00079238,0.00079238
11,12164.4,1.8155,1.82314,1.55828,0.87204,0.16154,0.21416,0.09676,1.89471,1.79168,1.57656,0.000721645,0.000721645,0.000721645
12,13192.6,1.77794,1.76868,1.53909,0.30297,0.27473,0.2319,0.10855,1.8412,1.74519,1.55681,0.000650909,0.000650909,0.000650909
13,14222.8,1.77047,1.72506,1.52713,0.27532,0.27927,0.2526,0.11681,1.87068,1.67483,1.56951,0.000580174,0.000580174,0.000580174
14,15248.2,1.72009,1.66989,1.48733,0.28735,0.29988,0.26177,0.12138,1.81698,1.62258,1.54737,0.000509438,0.000509438,0.000509438
15,16262.4,1.71609,1.60992,1.47597,0.30731,0.28999,0.25468,0.11904,1.81089,1.58634,1.53825,0.000438703,0.000438703,0.000438703
16,17548.2,1.6841,1.58944,1.45019,0.30177,0.31197,0.28313,0.12861,1.76796,1.57722,1.51219,0.000367967,0.000367967,0.000367967
17,18938.6,1.65549,1.54108,1.42741,0.29787,0.36536,0.29536,0.13599,1.75985,1.57295,1.49137,0.000297232,0.000297232,0.000297232
18,20231.4,1.64576,1.50306,1.42927,0.31133,0.33943,0.28943,0.1357,1.74459,1.52628,1.47898,0.000226497,0.000226497,0.000226497
19,21666.2,1.61199,1.45951,1.40403,0.30606,0.34546,0.29958,0.14211,1.74899,1.48509,1.47736,0.000155761,0.000155761,0.000155761
20,22937.2,1.60767,1.42586,1.39439,0.30486,0.34517,0.3045,0.14181,1.73363,1.48935,1.4672,8.50255e-05,8.50255e-05,8.50255e-05
